iteration,mean_reward,mean_value,mean_advantage,mean_ep_len,policy_loss,value_loss,entropy,approx_kl,clip_frac,explained_var
10,1.0352,19.6214,0.5046,35.1,-0.0134,17.9737,5.7465,0.0077,0.0902,0.0683
20,1.0292,20.2618,0.154,34.0,-0.0109,15.9865,5.8464,0.003,0.0793,0.3988
30,1.108,22.0512,0.0291,29.1,-0.0052,13.4988,5.9344,0.0038,0.0187,0.5393
40,1.4064,28.1752,-0.022,17.2,-0.0093,3.9506,5.9777,0.0014,0.0605,0.5214
50,1.5062,29.7584,0.1915,14.2,-0.0039,1.0041,6.092,0.0038,0.0481,0.1172
60,1.5467,30.3974,0.2722,13.7,-0.0048,0.2412,6.0842,0.0027,0.0331,-0.0975
70,1.5377,30.5696,0.0972,14.0,-0.0067,0.2983,6.0962,0.0036,0.0401,0.2548
80,1.5457,30.9399,-0.0142,13.8,-0.0049,0.3083,6.0106,0.0057,0.0768,0.4387
90,1.5493,31.102,-0.0557,14.0,-0.0049,0.2293,5.9901,0.0019,0.0254,0.481
100,1.5506,31.0161,0.0014,13.8,-0.0047,0.271,5.9678,0.0027,0.0358,0.5608
110,1.556,31.1471,-0.009,14.0,-0.0048,0.2692,5.9202,0.0019,0.027,0.4216
120,1.5608,31.2703,-0.0243,14.0,-0.0044,0.3069,5.8854,0.0008,0.0358,0.5582
130,1.5724,31.3098,0.0741,14.0,-0.0024,0.103,5.8486,0.0037,0.0421,0.5475
140,1.5773,31.1525,0.204,13.8,-0.0038,0.2252,5.8327,0.0016,0.0233,0.4991
150,1.5765,31.4127,0.0626,14.3,-0.0051,0.2114,5.8215,0.0015,0.0328,0.567
160,1.5758,31.6131,-0.0479,14.0,-0.0065,0.1915,5.8144,0.004,0.0339,0.5952
170,1.5757,31.5507,-0.0165,13.9,-0.0064,0.2581,5.8051,0.0031,0.0219,0.5002
180,1.5808,31.4833,0.0705,14.1,-0.0039,0.133,5.7999,0.0054,0.0386,0.5831
190,1.5793,31.6517,-0.0278,14.6,-0.0073,0.2039,5.7527,0.0017,0.0489,0.4077
200,1.5968,31.8923,0.0255,16.1,-0.0076,0.3158,5.7404,0.005,0.0604,0.5439
210,1.5993,31.9328,0.0313,16.7,-0.007,0.3738,5.7,0.0063,0.0622,0.5929
220,1.6019,32.3092,-0.1356,17.4,-0.0044,0.3788,5.6728,0.0015,0.0342,0.5976
230,1.6118,32.2904,-0.0282,17.8,-0.0064,0.3445,5.6654,0.0068,0.0473,0.5787
240,1.5905,32.3728,-0.2828,18.4,-0.0021,1.4737,5.6499,-0.0006,0.0346,0.4426
250,1.623,32.5461,-0.0416,18.0,-0.0054,0.3413,5.6354,0.0036,0.0315,0.6103
260,1.6167,32.2353,0.0558,20.5,-0.0041,1.0325,5.6431,0.0012,0.0372,0.6156
270,1.6254,32.1531,0.1877,19.6,-0.004,0.6687,5.6527,0.0026,0.0186,0.5589
280,1.6172,32.2936,0.0279,20.1,-0.0051,1.0666,5.6527,0.0037,0.0365,0.5693
290,1.5977,32.2137,-0.1291,21.6,-0.0022,1.6447,5.6745,0.0024,0.0163,0.56
300,1.5921,32.2317,-0.201,22.6,-0.0019,2.3973,5.6773,0.0003,0.0111,0.5932
310,1.6237,32.6431,-0.0899,21.0,-0.0043,0.8405,5.6632,0.0032,0.0373,0.6562
320,1.6018,32.3559,-0.1784,22.4,-0.0038,2.3056,5.6836,0.0042,0.0299,0.5433
330,1.623,31.9674,0.2604,22.2,-0.0047,1.9406,5.7045,0.0023,0.028,0.5377
340,1.5831,32.347,-0.3465,21.7,-0.0018,2.7555,5.7111,0.0018,0.0149,0.5882
350,1.648,32.8479,0.0563,21.1,-0.0069,0.9091,5.7324,0.0067,0.0366,0.554
360,1.6477,32.8699,0.0494,21.7,-0.0054,0.7299,5.7446,0.0033,0.0359,0.6305
370,1.6414,32.5125,0.1744,21.7,-0.0028,1.1537,5.7586,0.002,0.0257,0.5074
380,1.6281,32.3604,0.0988,21.8,-0.0035,3.6788,5.7743,0.0016,0.0295,0.521
390,1.6315,32.6928,-0.0299,21.6,-0.0028,2.4266,5.7782,0.0028,0.0264,0.5102
400,1.6353,33.0697,-0.1737,22.2,-0.0068,1.3234,5.7736,0.0102,0.0723,0.6236
410,1.6641,32.8231,0.2303,22.0,-0.0037,1.2241,5.7894,0.0002,0.0256,0.6147
420,1.6502,32.653,0.1888,21.2,-0.0042,1.2543,5.7993,0.0008,0.0158,0.5699
430,1.6163,32.6184,-0.1464,22.4,-0.0039,1.6908,5.8388,0.002,0.0292,0.6355
440,1.6322,32.3522,0.1514,22.4,-0.0057,1.8744,5.8432,0.0048,0.0317,0.5997
450,1.6329,32.8663,-0.0935,22.7,-0.0035,2.2621,5.8655,0.0015,0.0283,0.6167
460,1.6769,32.8089,0.37,23.0,-0.0038,1.1701,5.9124,0.0009,0.0251,0.6244
470,1.6089,32.1822,0.0107,24.0,-0.0049,1.9213,5.9337,0.0009,0.0269,0.6613
480,1.6469,32.0864,0.432,23.8,-0.005,1.3433,5.9588,0.0039,0.03,0.6972
490,1.6505,32.7919,0.107,23.1,-0.0061,1.7736,5.9952,0.0019,0.0315,0.5827
500,1.5657,31.7402,-0.2426,24.7,-0.0047,3.4869,6.0632,0.0036,0.0315,0.7047
510,1.6537,32.4008,0.347,22.4,-0.005,1.6476,6.0996,0.003,0.0251,0.4835
520,1.6059,32.0768,0.0249,24.1,-0.0055,2.5726,6.121,0.002,0.0254,0.6227
530,1.6386,32.2157,0.2857,24.7,-0.0052,1.8799,6.1424,0.0049,0.0371,0.5874
540,1.6227,32.332,0.0799,23.2,-0.0069,2.0505,6.1775,0.0051,0.0427,0.63
550,1.5686,32.1203,-0.3734,24.2,-0.0027,4.0057,6.2111,0.0059,0.0397,0.6569
560,1.5859,31.583,0.0802,23.1,-0.0049,3.1053,6.2439,0.0038,0.0262,0.6325
570,1.6065,31.7998,0.1801,23.7,-0.0041,2.8814,6.2532,0.0022,0.024,0.6656
580,1.5864,31.7526,-0.0082,24.8,-0.0055,4.7883,6.2847,0.0042,0.0391,0.6875
590,1.6074,32.0263,0.0907,23.2,-0.0027,2.8049,6.3188,0.0045,0.0224,0.6431
600,1.5908,31.6514,0.0908,23.6,-0.0065,3.3357,6.3773,0.0052,0.0412,0.589
610,1.5985,32.0467,-0.0314,23.8,-0.0069,2.8108,6.3785,0.0126,0.0724,0.6936
620,1.5774,31.9597,-0.1977,25.1,-0.0042,3.9685,6.4089,0.0014,0.034,0.7276
630,1.6172,31.6151,0.3835,24.8,-0.0042,3.0107,6.456,0.0031,0.0217,0.4937
640,1.6037,31.859,0.1138,23.8,-0.0065,2.5853,6.4865,0.0054,0.036,0.6072
650,1.5815,31.9087,-0.141,26.3,-0.0045,3.5966,6.4953,0.0052,0.038,0.6218
660,1.6028,31.6931,0.1635,23.5,-0.0067,2.5595,6.513,0.0034,0.0421,0.6858
670,1.6052,32.2862,-0.0957,24.2,-0.005,1.9833,6.5524,0.0039,0.0412,0.6285
680,1.5452,30.7666,0.0752,25.4,-0.0044,4.2533,6.5821,0.0033,0.0274,0.7286
690,1.6,31.8134,0.1035,24.6,-0.0072,2.6446,6.6147,0.0094,0.0688,0.5878
700,1.6135,31.9976,0.1477,24.5,-0.006,2.6322,6.6038,0.0041,0.0351,0.6453
710,1.5572,32.0449,-0.452,26.3,-0.0049,4.0646,6.6124,0.0036,0.0322,0.6274
720,1.5607,31.698,-0.2365,25.2,-0.0045,4.3154,6.6361,0.001,0.0288,0.6277
730,1.6475,32.1252,0.4271,24.1,-0.0053,1.9521,6.6623,0.0072,0.0456,0.5203
740,1.6074,31.9304,0.1226,24.0,-0.0102,1.4176,6.6657,0.0123,0.0615,0.6514
750,1.6094,32.0038,0.0629,23.2,-0.0059,2.3749,6.6853,0.0027,0.0352,0.6221
760,1.6043,32.0484,0.0321,24.2,-0.0094,2.069,6.7167,0.0045,0.0563,0.6718
770,1.5504,31.6094,-0.3051,24.9,-0.0046,3.4931,6.733,0.001,0.0197,0.5384
780,1.5952,31.6791,0.1293,25.7,-0.007,2.9235,6.7606,0.002,0.0456,0.6702
790,1.5878,31.5358,0.1255,24.9,-0.0049,3.05,6.7663,0.0046,0.0251,0.6206
800,1.5785,31.8103,-0.1178,25.6,-0.0072,3.5317,6.7577,0.0075,0.0475,0.6275
810,1.6015,31.7325,0.1365,24.8,-0.0065,3.2334,6.7726,0.0057,0.0358,0.5682
820,1.6211,31.5595,0.4412,24.7,-0.0057,2.5294,6.7789,0.0048,0.0301,0.5512
830,1.588,32.1027,-0.1706,24.4,-0.0045,3.4087,6.7795,0.0045,0.0395,0.6545
840,1.5985,31.9919,-0.007,26.3,-0.0075,3.2568,6.7888,0.0022,0.04,0.6338
850,1.6481,32.7353,0.1187,25.5,-0.0096,2.1388,6.8241,0.0051,0.0589,0.6386
860,1.5696,31.822,-0.2215,27.3,-0.0033,5.8804,6.8016,0.0017,0.0201,0.6034
870,1.591,32.4486,-0.3172,26.6,-0.0054,4.1336,6.8307,0.001,0.0254,0.6326
880,1.671,33.0156,0.2238,24.8,-0.0095,1.3367,6.8442,0.0033,0.0503,0.5362
890,1.6604,33.2328,-0.0172,25.2,-0.0097,1.7501,6.8309,0.0093,0.0536,0.4579
900,1.6029,31.7792,0.1436,27.1,-0.0053,3.6263,6.8379,0.0043,0.0306,0.7158
910,1.6509,32.9611,0.0191,26.4,-0.0069,2.5745,6.8282,0.0027,0.0381,0.6341
920,1.5579,32.1495,-0.515,28.0,-0.0031,6.2522,6.8212,0.0041,0.0228,0.6678
930,1.6509,32.542,0.2486,27.8,-0.0073,2.7146,6.8219,0.0053,0.0314,0.5313
940,1.6352,32.8907,-0.0977,26.6,-0.0079,2.7501,6.861,0.0087,0.0555,0.6285
950,1.6069,31.9731,0.0981,30.3,-0.0071,4.4674,6.8661,0.0027,0.0289,0.7716
960,1.6833,33.0159,0.3537,28.3,-0.0088,2.1829,6.8803,0.0034,0.035,0.5491
970,1.637,32.9309,-0.0967,27.5,-0.0122,1.7249,6.9007,0.0087,0.0648,0.6023
980,1.6619,32.3559,0.4598,30.3,-0.0053,4.3595,6.9065,0.0035,0.0204,0.586
990,1.548,31.6819,-0.3624,32.4,-0.0061,6.4233,6.9224,0.002,0.0253,0.7806
1000,1.5567,31.707,-0.2904,31.4,-0.0053,7.2816,6.9544,0.0012,0.0259,0.7465
1010,1.5999,32.031,-0.028,33.5,-0.0056,4.614,6.9698,0.0029,0.0314,0.655
1020,1.569,32.0579,-0.3481,29.6,-0.0057,4.5382,6.994,0.0026,0.0298,0.7418
1030,1.5502,32.4457,-0.7354,32.5,-0.0021,6.9226,6.9951,0.0027,0.0291,0.7294
1040,1.6625,32.8792,0.2121,28.0,-0.0073,2.2852,6.9825,0.0039,0.0349,0.3643
1050,1.644,32.4942,0.199,26.3,-0.007,2.9069,6.983,0.004,0.029,0.4843
1060,1.6773,33.2712,0.1486,29.4,-0.009,2.4511,6.9836,0.0029,0.04,0.5357
1070,1.6301,32.3906,0.1147,28.0,-0.0061,4.0214,6.9842,0.0025,0.0288,0.6826
1080,1.6213,32.1789,0.0823,28.9,-0.007,6.6363,7.0042,0.0024,0.0276,0.5819
1090,1.6116,33.0325,-0.4061,30.9,-0.0047,4.424,7.0204,0.0026,0.0275,0.7169
1100,1.5852,32.1793,-0.2874,29.3,-0.0067,4.4285,7.0239,0.0019,0.0364,0.8081
1110,1.5407,31.3016,-0.2358,34.0,-0.0065,6.0245,7.0189,0.0027,0.0288,0.8476
1120,1.642,32.604,0.1115,34.5,-0.0046,6.5173,7.0323,0.002,0.0275,0.7181
1130,1.5843,32.6251,-0.4692,33.5,-0.0051,5.8081,7.0308,-0.0008,0.0259,0.7213
1140,1.6481,32.6985,0.1479,32.8,-0.006,4.8162,7.0277,0.0054,0.0536,0.6802
